Terminal log file
Date: 31.07.2023 - 13:07:38
-----------------------------------------------
13:08:13.734> 
Stepper motor with reduction!!! (1/6)13:08:13.734> 
13:08:13.734> 
Total rotation time 97.5 minutes13:08:14.077> 
Time while sunlit 54.5 minutes13:08:14.077> 
Time in shadow 43 minutes13:08:14.077> 
13:08:14.077> 
Rotation angle 20113:08:14.077> 
Motor step 0.05 degrees13:08:14.077> 
Stepper motor should make 13440 steps13:08:14.077> 
The sunlit side lasts 3270 seconds13:08:14.077> 
One step in 243304 microseconds13:08:14.077> 
Total time of orbit 585013:08:14.077> 
13:08:14.077> 
**********************************13:08:14.077> 
13:08:14.077> 
The current angle is:;  40.61;  Step number is:;  2706;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:19:19.091> 
The current angle is:;  41.22;  Step number is:;  2747;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:19:29.079> 
The current angle is:;  41.84;  Step number is:;  2788;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:19:39.067> 
The current angle is:;  42.45;  Step number is:;  2829;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:19:49.090> 
The current angle is:;  43.06;  Step number is:;  2870;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:19:59.042> 
The current angle is:;  43.68;  Step number is:;  2911;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:20:09.087> 
The current angle is:;  44.29;  Step number is:;  2952;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:20:19.081> 
The current angle is:;  44.91;  Step number is:;  2993;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:20:29.048> 
The current angle is:;  45.52;  Step number is:;  3034;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:20:39.069> 
The current angle is:;  46.14;  Step number is:;  3075;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:20:49.044> 
The current angle is:;  46.75;  Step number is:;  3116;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:20:59.045> 
The current angle is:;  47.37;  Step number is:;  3157;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:21:09.038> 
The current angle is:;  47.99;  Step number is:;  3198;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:21:19.110> 
The current angle is:;  48.60;  Step number is:;  3239;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:21:29.060> 
The current angle is:;  49.22;  Step number is:;  3280;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:21:39.070> 
The current angle is:;  49.83;  Step number is:;  3321;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:21:49.068> 
The current angle is:;  50.45;  Step number is:;  3362;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:21:59.073> 
